[Bible.org] *[NET]  	(1.0.1)  	- New English Translation with over 60,000 translator, study and text critical notes
[Bible.org] *[NETfree]  	(1.0.1)  	- Free version of New English Translation with limited notes
[Bible.org] *[NETnotes]  	(1.0.1)  	- NET Bible Footnotes presented in the form of a commentary.
[Bible.org] *[NETnotesfree]  	(1.0.1)  	- Free version of NET Bible Footnotes with limited notes
[Bible.org] *[NETtext]  	(1.0.0)  	- New English Translation text only with footnote markers
[CrossWire] *[ACV]  	(2.0)  	- A Conservative Version
[CrossWire] *[AKJV]  	(1.4)  	- American King James Version
[CrossWire] *[ASV]  	(1.3)  	- American Standard Version (1901)
[CrossWire] *[Abbott]  	(1.1)  	- Illustrated New Testament
[CrossWire] *[Afr1953]  	(1.3.1)  	- 1933/1953 Afrikaans Bybel
[CrossWire] *[Alb]  	(1.2)  	- Albanian Bible
[CrossWire] *[Aleppo]  	(2.0)  	- Aleppo Codex
[CrossWire] *[Antoniades]  	(1.4)  	- Antoniades Patriarchal Edition (1904/1912)
[CrossWire] *[AraNAV]  	(2.0.1)  	- New Arabic Version (Ketab El Hayat)
[CrossWire] *[AraSVD]  	(1.8)  	- Smith and van Dyck's al-Kitab al-Muqaddas (Arabic Bible)
[CrossWire] *[ArmEastern]  	(1.1)  	- Eastern Armenian Bible
[CrossWire] *[ArmWestern]  	(1.1)  	- 1853 Western Armenian NT
[CrossWire] *[ABPGRK]  	(1.2)  	- Apostolic Bible Polyglot Greek Text
[CrossWire] *[ABP]  	(1.2)  	- Apostolic Bible Polyglot English Text
[CrossWire] *[AB]  	(1.3.1)  	- The Apostles' Bible
[CrossWire] *[Azeri]  	(2.5.1)  	- مقدَس کتاب آذربايجان ديلی
[CrossWire] *[BBE]  	(1.3)  	- 1949/1964 Bible in Basic English
[CrossWire] *[BWE]  	(1.0)  	- Bible in Worldwide English
[CrossWire] *[Barnes]  	(1.1)  	- Barnes' New Testament Notes
[CrossWire] *[BasHautin]  	(1.5)  	- 1571 Navarro-Labourdin Basque NT
[CrossWire] *[Bela]  	(1.5)  	- Belarusian Bible
[CrossWire] *[BretonNT]  	(1.1.1)  	- Breton New Testament (Koad 21)
[CrossWire] *[BulCarigradNT]  	(1.0)  	- Bulgarian New Testament from 1914, known as 'Tsarigrad Edition'
[CrossWire] *[BulVeren]  	(1.0)  	- Veren's Contemporary Bible
[CrossWire] *[BurJudson]  	(1.3)  	- 1835 Judson Burmese Bible
[CrossWire] *[Burkitt]  	(1.0)  	- Burkitt's Expository Notes
[CrossWire] *[Byz]  	(2.4)  	- The New Testament in the Original Greek: Byzantine Textform 2005
[CrossWire] *[CPDV]  	(1.0.1)  	- Catholic Public Domain Version
[CrossWire] *[CSlElizabeth]  	(1.5.1)  	- 1757 Church Slavonic Elizabeth Bible
[CrossWire] *[Calo]  	(1.0)  	- El Evangelio segun S. Lucas, traducido al Romaní, ó dialecto de los Gitanos de España
[CrossWire] *[Chamorro]  	(2.7.1)  	- Chamorro: Y Santa Biblia (1908)
[CrossWire] *[Che1860]  	(1.2)  	- Cherokee New Testament (1860)
[CrossWire] *[ChiNCVs]  	(1.0)  	- New Chinese Version Simplified
[CrossWire] *[ChiNCVt]  	(1.0)  	- New Chinese Version Traditional
[CrossWire] *[ChiUn]  	(2.6)  	- 和合本 (繁體字)
[CrossWire] *[ChiUnL]  	(1.0)  	- 聖經 (文理和合)
[CrossWire] *[ChiUns]  	(2.5.2)  	- 和合本 (简体字)
[CrossWire] *[Clarke]  	(1.0)  	- Adam Clarke's Commentary on the Bible
[CrossWire] *[Common]  	(1.3)  	- The Common Edition: New Testament
[CrossWire] *[CopNT]  	(1.0.1)  	- The Coptic New Testament
[CrossWire] *[CopSahHorner]  	(1.5)  	- Sahidic Coptic New Testament, ed. by G. W. Horner
[CrossWire] *[CopSahidicMSS]  	(1.0)  	- The Sahidica Manuscripts
[CrossWire] *[CopSahidica]  	(1.0)  	- Sahidica - A New Edition of the New Testament in Sahidic Coptic
[CrossWire] *[Cro]  	(1.0)  	- Croatian Bible
